Date,Open,High,Low,Close,Adj Close,Volume
2022-04-14,2861.636475,2879.772949,2758.325684,2790.517090,2790.517090,14619624873
2022-04-15,2790.725098,2817.905029,2776.531250,2812.564941,2812.564941,10411355802
2022-04-16,2812.756104,2843.984375,2789.908936,2832.352295,2832.352295,8108391783
2022-04-17,2831.956055,2844.806641,2764.178223,2768.209473,2768.209473,9675952924
2022-04-18,2768.283936,2839.743896,2680.900635,2836.202393,2836.202393,17280409170
2022-04-19,2836.168457,2897.900146,2812.086426,2875.371094,2875.371094,13112905182
2022-04-20,2875.212158,2916.149658,2808.830811,2836.684570,2836.684570,14329630663
2022-04-21,2836.761475,2915.709961,2734.503174,2757.319092,2757.319092,19182381668
2022-04-22,2756.819092,2799.678223,2728.078613,2748.604248,2748.604248,15558792637
2022-04-23,2748.573242,2758.326416,2713.287354,2723.831543,2723.831543,8452037803
2022-04-24,2723.120605,2734.166748,2700.996582,2703.843262,2703.843262,8970614619
2022-04-25,2704.081543,2818.255371,2611.795410,2809.097412,2809.097412,20846293724
2022-04-26,2808.679932,2821.956543,2617.517578,2638.635010,2638.635010,17901016076
2022-04-27,2638.961670,2760.264648,2633.873779,2737.246582,2737.246582,16504684532
2022-04-28,2737.170654,2829.927979,2722.236084,2796.114746,2796.114746,17559157627
2022-04-29,2795.958008,2799.331543,2638.366455,2670.412598,2670.412598,17803093878
2022-04-30,2670.347656,2690.543701,2586.764893,2589.402100,2589.402100,12823720979
2022-05-01,2589.219238,2692.687012,2587.402832,2684.165527,2684.165527,14554149448
2022-05-02,2684.030518,2734.287354,2654.372314,2718.791748,2718.791748,17706945763
2022-05-03,2718.546143,2719.287354,2624.402100,2644.522217,2644.522217,12375817619
2022-05-04,2644.194580,2789.713867,2639.987549,2768.699463,2768.699463,17123334301
2022-05-05,2768.305664,2776.983154,2567.971680,2608.436768,2608.436768,21483471428
2022-05-06,2608.169678,2617.175781,2502.838867,2554.894531,2554.894531,19934584660
2022-05-07,2554.906250,2556.480713,2464.400146,2499.068848,2499.068848,12674341381
2022-05-08,2499.096191,2501.664063,2370.427979,2390.242676,2390.242676,19751048026
2022-05-09,2391.238037,2403.478516,2120.092041,2125.672852,2125.672852,34395753179
2022-05-10,2123.040771,2320.823486,2089.052979,2225.735352,2225.735352,36282214920
2022-05-11,2225.016846,2313.733154,1920.234497,1971.188721,1971.188721,43515512641
2022-05-12,1971.565308,2061.724609,1671.830566,1890.164185,1890.164185,40914970443
2022-05-13,1888.642700,2058.374268,1870.895752,1934.727905,1934.727905,23834371787
2022-05-14,1934.595703,1981.800659,1879.170898,1974.927734,1974.927734,14845563931
2022-05-15,1974.840576,2063.915527,1928.719849,2063.517578,2063.517578,14277423767
2022-05-16,2063.642578,2063.642578,1907.753784,1937.635864,1937.635864,20556813209
2022-05-17,1937.785767,2007.007568,1914.880615,1981.628540,1981.628540,17546709597
2022-05-18,1981.676514,1990.482910,1830.061523,1830.061523,1830.061523,16939428763
2022-05-19,1829.577881,1915.599609,1818.712158,1907.725342,1907.725342,17707554926
2022-05-20,1907.407715,1944.593140,1828.788086,1856.304810,1856.304810,15041582895
2022-05-21,1856.023071,1879.095825,1840.167236,1868.800659,1868.800659,8089216987
2022-05-22,1868.944824,1935.795532,1860.775146,1933.143311,1933.143311,10351932967
2022-05-23,1932.362427,1952.473999,1838.797485,1845.964233,1845.964233,15382736241
2022-05-24,1846.159790,1866.632324,1790.526978,1843.842041,1843.842041,12165465147
2022-05-25,1843.557129,1881.205566,1826.528564,1819.812378,1819.812378,12505459366
2022-05-26,1820.004639,1833.572388,1644.823486,1680.734863,1680.734863,21856829189
